header,price,note,usable_area,floor_area,floor,energy_effeciency,ownership,description,long,lat,hash,gas,waste,equipment,state,construction_type,place,electricity,heating,transport,year_reconstruction,telecomunication,has_lift,has_garage,has_cellar,no_barriers,has_loggia,has_balcony,has_garden,has_parking,cellar_area,loggia_area,balcony_area,tags,disposition,age,condition,is_new,MHD,train_station,post_office,atm,bank,doctor,vet,school,kindergarten,supermarket_grocery,restaurant_pub,playground,sports_field,subway,tram,bus,theatre_cinema,pharmacy,bus_station_dist,train_station_dist,subway_station_dist,tram_station_dist,MHD_dist,post_office_dist,atm_dist,bank_dist,doctor_dist,vet_dist,primary_school_dist,kindergarten_dist,supermarket_grocery_dist,restaurant_pub_dist,playground_dist,sports_field_dist,theatre_cinema_dist,pharmacy_dist,estimated_sale_price,estimated_rent_price
"Prodej bytu 6+kk 161 m², Ječná, Praha, Praha",19590000,,161,,3,G,OSOBNI,"Prostorný, jižně orientovaný byt s výhledem na barokní kostel, balkonem do vnitrobloku a kompletním vybavením se nachází ve 3. podlaží zrekonstruovaného a pěkně udržovaného nárožního domu s výtahem. 
Podlahová plocha činí 159m2 a celková užitná plocha balkónem je 161m2.

Byt je možné převzít s hypotečním úvěrem na ~10.5mn s dnes již bezkonkurenční sazbou 2.02% a fixaci do cervna 2025!
RK nevolat!!!

V konečné ceně není zahrnuto vybavení v hodnotě 200 tisíc Kč.

Byt je v současnosti interně rozdělen na 3 samostatné uzamykatelné apartmány s vlastními koupelnami a vybavenými kuchyňskými kouty. Jeden pokoj s orientací do dvora má malý balkon (1,9 m2), ostatní místnosti směřují na jih do ulice. Nemovitost lze rozdělit kolaudací na 2 samostatné byty zapsané v KN (c.60m2 a c.100m2). Historicky se jednalo o 2 samostatné byty.

Nemovitost lze využít na krátkodobé pronájmy (byt je aktuálně provozován tímto způsobem a generuje průměrné měsíční příjmy z pronájmu okolo 165 tisíc Kč., roční hrubý výnos tedy činí okolo 2 milionů Kč), dlouhodobé pronájmy (očekávaný roční výnos 800-900 tisíc Kč), popř. lze využít i na kancelářské prostory, které zde také dříve byly.

Na podlahách jsou parkety a dlažba, velká okna jsou dřevěná špaletová. Byt je v současném stavu vhodný například ke krátkodobému, střednědobému či dlouhodobému pronájmu. Kupní cena zahrnuje veškeré vybavení a nábytek a je případně k jednání. Vytápění centrální. Dům vznikl dle návrhů architektů Theodora Petříka a Karla Roštíka, svůj název dostal podle kamenného stolu, který zde kdysi stával a sloužil pro vyplácení peněz za dobytek prodávaný na zdejším trhu.

Perfektně dostupné místo, na tramvajové zastávce nacházející se v těsné blízkosti domu staví mnoho spojů včetně nočních, v pěším dosahu jsou stanice metra všech linek. V docházkové vzdálenosti se nachází vše potřebné: obchody, restaurace, kavárny, lékárna, poliklinika, kina, divadla i školy. Lokalitu zpříjemňuje park na Karlově náměstí, možnost úniku do klidu a zeleně poskytuje také blízká botanická nebo Kateřinská zahrada, za několik málo minut se lze dostat na oblíbenou Náplavku.",14.42108,50.07579,,,,VYBAVENY,INTERNAL,CIHLA,"Ječná, Praha - Nové Město",,ELECTRIC,,,,True,False,False,,False,True,True,False,,,,MHD 1 minuta pěšky_Vybaveno_Výtah_Balkón,DISP_6_KK,OVER_50,VERY_GOOD,False,True,,True,,True,,,True,True,True,True,True,True,,,,,True,,,,,104.8,247.28,,206.45,,,273.75,,121.63,40.7,264.69,660.35,,20.74,,
"Prodej bytu 2+kk 48 m², U Kamýku, Praha, Praha",6199999,,48,,6,C,OSOBNI,"Prodej bytové jednotky 2+kk včetně balkónu a včetně zděného sklepa v moderním bytovém komplexu Praha 4

Komfortní bydlení jen pár minut od centra Prahy a v blízkosti přírodní rezervace.
Nabízím k prodeji jedinečný a plně zařízený byt 2+kk o rozloze 48m2 včetně balkónu a zděného sklepa ve vysoce ceněné lokalitě Prahy 4 Kamýk. Okna bytu nabízejí překrásný výhled na noční Prahu. Přesto je bytový dům v přímém kontaktu dvou rozsáhlých přírodních lesoparků Lhotka a Kamýk s upraveným zooparkem, spoustou přírodních pěšinek, zastávek k odpočinku a venkovních posiloven. Bydlení ve městě a zároveň v přírodě je zde skutečností. Komfort městského bydlení se zde skvěle doplňuje s potřebou žít a odpočívat v blízkosti zeleně. Autobusová zastávka MHD Sídliště Lhotka je pár kroků od vchodových dveří, zastávka metra Kačerov je v dojezdové vzdálenosti 5ti minut a centrum Prahy 15minut. Přímo v přízemí bytového domu jsou komerční prostory nabízející služby kadeřnictví, stomatologie, obchod s dětskými potřebami, kosmetika…, hned v těsném sousedství pak naleznete supermarket Albert, Billa, restaurace, lékárna, poliklinika, sportovní střediska (tenis, fotbal, squash, fitness,..), základní škola a několik školek.
Samotná bytová jednotka se nachází v 6. np s výtahem, je skvěle řešena a poskytuje velice příjemné bydlení. Součástí bytové jednotky je zádveří, komora, koupelna s wc a sprchovým koutem, kuchyňský kout s obývacím pokojem, prostorná ložnice a příjemný balkón s okouzlujícím nočním výhledem. 



V kostce

Lokalita			        Praha 4
Typ				        Moderní bytový dům
Dispozice			2+KK
Podlaží				6
Výtah				ANO
Balkón				ANO
Sklep				ANO
Vytápění			Ústřední
Voda				Vodovodní řád
Okna				Plastová/izolační dvojsklo
Podlahy			        Plovoucí/Dlažba 
WC				        1x
Koupelna			Sprchový kout 1x, umyvadlo 1x
Parkování			Před domem snadno dostupné
Dostupnost 			Centrum 15 minut
Občanská vybavenost	Kompletní",14.43519,50.01741,,,,VYBAVENY,,CIHLA,"U Kamýku, Praha - Kamýk",,,,,,True,False,True,,False,True,True,False,4.0,,4.0,MHD do minuty pěšky_Vybaveno_Výtah_Balkón_Sklep,DISP_2_KK,,VERY_GOOD,False,True,,True,,True,,,True,True,True,True,True,True,,,,,True,,,,,55.79,1064.93,,1057.59,,,569.71,,211.12,450.94,368.42,466.66,,432.27,5082400.0,12860.0
"Prodej bytu 2+kk 61 m², Škrábkových, Praha, Praha",6750000,,61,,2,B,OSOBNI,"Nabízím byt 2+kk/L o celkové výměře 60,6 m2 (z čehož 3,8 m2 představuje lodžie) v 2.NP novostavby z roku 2016 (Rezidence Veselská). Dispozice sestává z prostorných obytných místností: obývacího pokoje s moderním kuchyňským koutem (24,5 m2) a ložnice (17,9 m2); dále koupelny a předsíně s úložnými prostory na míru. Orientace na slunný jih. Velmi příznivé provozní náklady. Vhodné na vlastní bydlení i na investici (ochrana volných prostředků před inflací). Byt je prost právních vad (zástavních či nájemních práv apod.) K nastěhování okamžitě. Několik minut chůze od domu se nachází rozsáhlý lesopark. Metro Letňany je vzdálené 6 min jízdy autobusem. V okolí najdete veškerou občanskou vybavenost: zejména OC Letňany, MŠ, ZŠ, supermarkety, atd. Ukazatel energetické náročnosti: B",14.51772,50.14084,,,,CASTECNE,,OSTATNI,"Škrábkových, Praha - Letňany",,,,,,True,False,False,,True,False,True,False,,4.0,,MHD 3 minuty pěšky_Částečně vybaveno_Výtah_Lodžie,DISP_2_KK,BETWEEN_1_10,NEW,False,True,,True,,True,,,True,True,True,True,True,True,,,,,True,,,,,321.72,558.9,,1137.86,,,923.51,,934.67,470.78,439.55,367.69,,675.08,7057730.0,14013.0
"Prodej bytu 4+kk 123 m², Praha, Praha",17750000,,123,,6,B,UNDEFINED,"Prodáme tichý, slunný 4+kk byt (123m2) - v domě s výtahem, v projektu Rezidence Waltrovka.

Byt:

> vstupní chodba, 3x samostatné, neprůchozí pokoje (14,14 a 13m2), koupelna s vanou a toaletou, obývací místnost s kk (34m2), další toaleta, komora (pračka, sušička)
> bytový dům je na konci slepé ulice. Byt je na vrchním patře, úplně na konci chodby - soukromí a klid
> vytápění plynem (centrální kotelna v dome)
> bezpečnostní/protipožární vchodové dveře NEXT
> zařízení bytu – kuchyně Ikea (pracovní deska měří cca 6 metrů), vestavěná lednice, pračka/sušička Siemens, indukční varní deska, myčka nádobí.
> užitná plocha bytu 98m2 (celková podlahová plocha 106m2) + terasy 15+10m2 + murovaný sklep + 2x parkovací stání v podzemní garáži je v ceně (výtah zaveden až do garáže)
> Byt má orientaci V/Z/S - je velice světlý
> popl 5.300,- Kč + elektřina

Bytový dům:

> nový (2017), čistý bytový dům, řádně fungující SVJ. Hned vedle domu je fontána, dětské hřiště, v domě kavárna Starbucks. Dům je ve slepé ulici.

Poloha:

> Praha 5 – Jinonice
> poloha je ideální pro dojezd do centra (metro Jinonice 4 min pěšky), office spaces Nové Butovice a Radlická (1 stanice metrem). Dojezd na letiště je 15 min autem. Autobus na Anděl cca 8 min jízdy.
> Deutsche Schule Prag - 5 min autem, nebo 15 min pěšky
> v okolí jsou parky (Vidoule, Prokopské údolí), fontána s malým parkem přímo za rohem

Služby:

> Billa, Starbucks, lékárna, restaurace, Sushi Time, Drogerie Teta, kadeřnictví, moderní pošta, Canadian Medical Center, Centrum pohybové medicíny Pavla Koláře, úplně nová školka, bankomaty v pěší vzdálenosti max 5 minut.

Využití:

> Byt je ideální pro vlastné bydleni, i na pronájem.
> V pěší vzdálenosti (1-5 minut) jsou moderní kancelářske prostory převážně zahraničních firem, tj. extrémně vysoká pronajatelnost bytu.",14.3731,50.05661,,,,CASTECNE,,CIHLA,Praha - Jinonice,,,,,,True,True,True,,False,True,True,True,4.0,,10.0,MHD 2 minuty pěšky_Částečně vybaveno_Výtah_Parkování_Balkón_Sklep_Garáž_Terasa,DISP_4_KK,,NEW,False,True,,True,,True,,,True,True,True,True,True,True,,,,,True,,,,,225.8,186.58,,156.93,,,808.23,,162.91,59.19,141.14,1814.25,,229.02,,
"Prodej bytu 1+1 47 m², Praha, Praha",7000000,,47,,3,G,UNDEFINED,"Krásný byt ve skvělé lokalitě v rozvíjející se čtvrti Palmovka, 2 minuty od tramvaje a 5 minut od metra. Má ložnici, toaletu oddělenou od koupelny a kuchyň s jídelnou/obývací částí. Součástí je také malý balkon orientovaný do vinitrobloku a sklep.
Byt bude nabízen nezařízený.",14.47402,50.10644,,,,CASTECNE,,CIHLA,Praha - Libeň,,,,,,False,False,True,,False,True,True,False,,,,MHD 2 minuty pěšky_Částečně vybaveno_Balkón_Sklep,DISP_1_1,,VERY_GOOD,False,True,,True,,True,,,True,True,True,True,True,True,,,,,True,,,,,187.11,579.78,,227.72,,,253.51,,134.17,103.33,187.95,348.29,,245.45,,
"Prodej bytu 4+kk 123 m², Svitákova, Praha, Praha",8375000,,123,,7,A,DRUZSTEVNI,"Nabízíme zcela nový nadstandardní družstevní byt 4+kk o velikosti 122,7 m2 včetně prostorné terasy (16,3 m2). 

Splátka anuity možná stále s úrokem 2,95 %, a to se zaručenou pětiletou fixaci (!) a z toho vyplývající měsíční splátkou anuity ve výši 36.000,- Kč, tj. zahrnující byt, komoru a dvě garážová stání.

Možná je i celková (jednorázová nebo částečná) úhrada anuity a okamžité převedení do osobního vlastnictví.

Byt se nachází v nejvyšším 7. podlaží cihlové novostavby v moderní rezidenci Britská Čtvrť, Praha 5 - Stodůlky. Orientace oken bytu je na jih a západ. 
Plánovaný termín kolaudace je jaro 2023. Stav výstavby je ve finální fázi a odpovidá inzerované fotodokumentaci.

Cena činí 15.975.000 Kč, z toho anuita činí 7.595.000 Kč. 

Dvě garážová stání, komora na patře/sklep již zahrnuty v uvedené ceně. 

Jak již bylo uvedeno výše - jedná o družstevní byt, anuitu je tedy možné splácet (a) formou nájmu (splátek anuity) bez nutnosti využití hypotečního úvěru a prokazování příjmu nebo lze financovat splátku anuity (b) hypotečním úvěrem a byt převést do osobního vlastnictví kdykoli po splacení anuity.

V blízkosti domu je veškerá občanská vybavenost včetně škol, školek, obchodů a restaurací, kaváren, nákupního centra a zařízení lékařské péče. Rovněž je k dispozici kvalitní venkovní workout a zcela nové prostorné hřiště pro různorodé sportovní vyžití.

Výborná dopravní dostupnost - v bezprostřední blízkosti (2 minuty chůze) je linka metra B - Stodůlky, 10 min vzdálené letiště Václava Havla a pár minut jízdy na dálnici D5 směr Plzeň a Pražský okruh.

Více informací je k dispozici v případě zájmu na vyžádání.",14.30165,50.04711,,,,NEVYBAVENY,,CIHLA,"Svitákova, Praha - Stodůlky",,,,,,True,True,True,,False,False,True,False,,,,MHD 4 minuty pěšky_Výtah_Sklep_Garáž_Terasa,DISP_4_KK,,NEW,True,True,,True,,True,,,True,True,True,True,True,True,,,,,True,,,,,375.74,284.84,,1670.13,,,1096.55,,90.83,198.67,201.7,903.51,,1128.17,10305408.0,27622.0
"Prodej bytu 2+kk 41 m², Praha, Praha",6490000,,41,,2,C,UNDEFINED,"Nabízíme k prodeji byt 2+kk ve družstevním vlastnictví o výměře 41 m2, po kompletní rekonstrukci v roce 2018. Byt se nachází ve 2. nadzemním podlaží cihlového domu a sestává se z obývacího pokoje propojeného s kuchyňským koutem, ložnice, samostatné šatny, koupelny se sprchovým koutem a toaletou. K bytu náleží samostatná sklepní kóje v suterénu domu. Kuchyňský kout je vybavený moderní kuchyňskou linkou s kamennou pracovní deskou Technistone, sklokeramickou indukční deskou, myčkou, digestoří, lednicí s mrazákem a kombinovanou pečící a mikrovlnnou troubou. Součástí vybavení bytu jsou praktické na míru vyrobené vestavěné skříně zaručující dostatečné úložné prostory.  Na podlahách je položena keramická dlažba s podlahovým vytápěním, okna jsou dřevěná ve velice dobrém stavu a po odborném seřízení, ohřev vody a vytápění je zajištěno kondenzačním plynovým kotlem. Měsíční předpisy včetně FO jsou ve výši 1 150Kč, záloha na elektrickou energii ve výši 500Kč (vloni 300Kč), záloha na plyn nově upravena na 1 800Kč (vloni 500Kč). Bytové družstvo s 11 členy je velice racionálně vedeno a na společném účtu je dostatečně vysoká částka pro nutné investice do domu.",14.36812,50.06734,,,,CASTECNE,,CIHLA,Praha - Košíře,,,,,,False,False,True,,False,False,True,False,,,,MHD 4 minuty pěšky_Částečně vybaveno_Sklep,DISP_2_KK,,VERY_GOOD,False,True,,True,,True,,,True,True,True,True,True,True,,,,,True,,,,,343.36,764.13,,580.35,,,377.38,,248.0,434.09,438.31,246.57,,491.38,,
"Prodej bytu 2+kk 50 m², Nad Vršovskou horou, Praha, Praha",4650000,,50,,2,C,OSOBNI,"Nabízím prodej krásného bytu o dispozici 2+kk 50m2. Byt je po rekonstrukci a nachází se v žádané lokalitě Praha 4 rozhraní Michle a Vršovic. Ulice Nad Vršovskou horou, naproti STK. Byt se prodává buď zařízený moderním nábytkem -kuchyňská linka včetně spotřebičů- lednice, trouba, varná deska, myčka nádobí, pračka, rozkládací gauč, obývací stěna, postel ( rám s rozměrem 160x200), konferenční stolek, velká šatní skříň atd nebo úplně prázdný. Koupelna s vanou společně s WC. Nová plastová okna se zárukou na 10 let, výměna byla provedená v roce 2019. Vše krásně a vkusně zařízené a rekonstruované. K dispozici je pěkný dvorek pouze pro tento dům, kde je možnost hezkého posezení v zeleni či grilování jako na zahradě.
Zastávka Bohdalec pár minut pěšky. V okolí je veškerá občanská vybavenost. Obchodní 
Centrum Eden s hypermarketem Tesco na druhé straně  je Kaufland jedna zastávka autobusem. Na metro Želivského do 10 minut, do centra cesta trva 15-20 minut.

Tel: 728150117",14.473963,50.061553,,,,VYBAVENY,ALL,CIHLA,"Nad Vršovskou horou, Praha - Michle",,,,,,False,False,True,,,False,True,,7.0,,,MHD 5 minut pěšky_Vybaveno_Sklep,DISP_2_KK,,VERY_GOOD,False,True,,True,,True,,,True,True,True,True,True,True,,,,,True,,,,,469.77,1132.24,,1170.62,,,1371.94,,156.59,619.2,570.85,1032.47,,883.69,,14307.0
"Prodej bytu 2+kk 58 m², Praha, Praha",4550000,,58,,16,D,UNDEFINED,"Prodám větší 2+kk o celkové ploše 57,84 m2, se 2 lodžiemi s nádherným výhledem do okolí v zajímavé lokalitě Praha 4 - Krč v ul. Štúrova. Byt je v posledním patře s orientací na západ. Nad bytem je ještě jedno patro se sklepními kóji.  V bytě jsou dva neprůchozí pokoje - obývací  pokoj s kuchyňským koutem 16m2 a lodžii 4m2, ložnice 16m2 s další lodžii 4m2, dále mimo tyto pokoje je k dispozici pracovna 4,5m2, kterou lze použít jako šatna či komora. Koupelna je společná s WC ma 3,5m2, je tam i přípojka na pračku. K bytu patří sklep 2m2. Parkování je u domu. Výborná strategická poloha domu - zastávka MHD Tempo hned u domu, veškerá občanská vybavenost na místě - obchody Lidl, Jysk a Pepco hned vedle, pošta přes ulici, další obchody a služby poblíž, metro Kačerov cca 5 minut jízdy. V okolí je dostatek zeleně, poblíž rozlehlý Krčský les s mnoha volnočasovými aktivitami.
Kontakt na majitele tel: 728150117",14.45305,50.0203,,,,CASTECNE,,PANEL,Praha - Krč,,,,,,True,False,True,,True,False,True,False,2.0,6.0,,MHD 2 minuty pěšky_Částečně vybaveno_Výtah_Sklep_Lodžie,DISP_2_KK,,VERY_GOOD,False,True,,True,,True,,,True,True,True,True,True,True,,,,,True,,,,,211.03,335.63,,1558.75,,,974.73,,201.26,374.08,370.18,927.53,,999.59,,
"Prodej bytu 2+kk 47 m², Čenětická, Praha, Praha",5710000,,47,,6,C,OSOBNI,"Ubytovací jednotka č. 627 má dispozici 2+kk a podlahovou plochu 47m². Nachází se v 6. podlaží. Pěkné výhledy nabízí jak vyšší podlaží, tak i ta nižší. Kombinace tradičních a inovativních prvků dává vznik originálnímu bydlení, které ocení mladí i starší.
Celková plocha jednotky je 47m². Další prostor skýtá pochozí střecha jako vyhlídková terasa a místo k odpočinku. Ubytovací jednotka ve standardu Fit out je dokončena pouze do finálních povrchů včetně sanity a obsahuje přípravné body pro kuchyni. S včasnou koupí získáte možnost vybrat si z několika dokončovacích standardů. Nábytek a vybavení interiéru jsou zcela v režii nového majitele, notnou dávku inspirace načerpáte v energii měst Praha, Berlín a Oslo. Ve vzorových jednotkách najdete reálnou ukázku, jak do svého interiéru propsat osobitou atmosféru těchto třech naprosto odlišných metropolí.",14.4984571,50.0429826,,,,NEVYBAVENY,,PANEL,"Čenětická, Praha - Chodov",,,,,,True,False,True,,False,False,True,True,,,,MHD 2 minuty pěšky_Výtah_Parkování_Sklep,DISP_2_KK,,NEW,False,True,,True,,True,,,True,True,True,True,True,True,,,,,True,,,,,234.43,1240.81,,1223.57,,,620.77,,409.41,244.13,172.04,640.47,,1018.48,5340093.0,12943.0
